Estado,Nombre de Estado,Numero de Caso,Peatones,Personas _no_vehiculos,Vehiculos automotores,Vehiculos estacionados,Condado,Nombre Condado,Ciudad,Nombre Ciudad,Mes,Nombre Mes,Dia,Año,Hora,Minuto,Calle,Ruta,Nombre Ruta,Rural o Urbanoo,Sistema Funcional,Dueño Calle,Sistema Nacional Carreteras,Jurisdiccion Especial,Milla,Latitud,Longitud,Causa del Accidente,Tipo de Accidente,Tipo Interseccion,Columna1,Lugar en la calle,Zona de Trabajo,Luz,Clima,Autobus Escolar,Cruce de Trenes,Hora Notificacion,Minuto Notificacion,Hora Llegada,Minuto Llegada,Decesos,Fecha,PersonaVehiculo
1,Alabama,10001,0,0,2,0,107,PICKENS (107),0,NO APLICA,1,Enero,1,2022,12,30,US-82 SR-6,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,4,33.49096667,-88.27408333,Vehiculo en movimiento,Golpe Lateral - misma direccion,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,12,47,13,4,1,01/01/2022,3
1,Alabama,10002,0,0,2,0,101,MONTGOMERY (101),0,NO APLICA,1,Enero,1,2022,16,40,US-231 SR-53,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,974,32.087125,-86.06415278,Vehiculo en movimiento,Frente a frente,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,99,99,99,99,2,01/01/2022,5
1,Alabama,10003,0,0,1,0,115,ST. CLAIR (115),0,NO APLICA,1,Enero,1,2022,1,33,CR-KELLY CREEK RD,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,33.42833056,-86.35199444,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Nublado,No,NO APLICA,1,33,1,50,1,01/01/2022,2
1,Alabama,10004,0,0,1,0,101,MONTGOMERY (101),0,NO APLICA,1,Enero,2,2022,14,46,I-65,1,Interestatal,Rural,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1595,32.21690278,-86.40016944,Zanja,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Nublado,No,NO APLICA,14,48,15,9,1,02/01/2022,1
1,Alabama,10005,1,1,1,0,73,JEFFERSON (73),0,NO APLICA,1,Enero,2,2022,18,48,I-20,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1342,33.54028056,-86.68738889,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre Acotamiento,Ninguna,Oscuro sin iluminacion,lluvia,No,NO APLICA,18,48,18,54,1,02/01/2022,1
1,Alabama,10006,1,1,1,0,101,MONTGOMERY (101),2130,MONTGOMERY,1,Enero,2,2022,18,28,W FAIRVIEW AVE,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,32.35168889,-86.31268611,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro con iluminacion,Despejado,No,NO APLICA,18,26,18,32,1,02/01/2022,5
1,Alabama,10007,0,0,2,0,63,GREENE (63),0,NO APLICA,1,Enero,4,2022,9,5,CR-60,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,33.05224444,-87.96188333,Vehiculo en movimiento,Frente a Detrás,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,99,99,99,99,1,04/01/2022,1
1,Alabama,10008,0,0,1,0,101,MONTGOMERY (101),0,NO APLICA,1,Enero,4,2022,14,50,CR-MERIWEATHER TR,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,32.04035,-86.04733056,Barda,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,99,99,99,99,1,04/01/2022,1
1,Alabama,10009,0,0,2,0,71,JACKSON (71),0,NO APLICA,1, ,4,2022,11,40,US-72 SR-2,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,1243,34.61266389,-86.24144444,Vehiculo en movimiento,Angulo,Four-Way Intersection,Interseccion de 4 direcciones,Sobre calle,Ninguna,Dia total,Despejado,No,NO APLICA,11,36,11,54,1,04/01/2022,3
1,Alabama,10010,0,0,1,0,131,WILCOX (131),0,NO APLICA,1,Enero,5,2022,0,0,SR-5,3,Highway estatal,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,52,31.97055556,-87.66008889,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,0,0,0,33,1,05/01/2022,1
1,Alabama,10011,0,0,1,0,115,ST. CLAIR (115),2560,RAGLAND,1,Enero,5,2022,11,45,11TH ST,6,Calle Local Municipalidad,Rural,Colector Mayor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.74586944,-86.15119167,Acotamiento,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,11,48,11,57,1,05/01/2022,2
1,Alabama,10012,0,0,2,0,125,TUSCALOOSA (125),2260,NORTHPORT,1,Enero,5,2022,20,25,US-82 SR-6,2,US Highway,Urbano,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,446,33.23704167,-87.60533056,Animal vivo,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro con iluminacion,Nublado,No,NO APLICA,20,27,20,43,2,05/01/2022,2
1,Alabama,10013,0,0,2,0,115,ST. CLAIR (115),2410,PELL CITY,1,Enero,6,2022,17,50,COGSWELL AVE,6,Calle Local Municipalidad,Urbano,Arteria Menor,City or Municipal Highway Agency,0,Sin jurisdiccion especial,0,33.59309722,-86.263825,Vehiculo en movimiento,Frente a frente,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Nublado,No,NO APLICA,17,56,18,13,1,06/01/2022,4
1,Alabama,10014,0,0,2,0,97,MOBILE (97),0,NO APLICA,1,Enero,7,2022,6,0,US-45 SR-17,2,US Highway,Rural,Arteria Principal,State Highway Agency,1,Sin jurisdiccion especial,210,30.94694722,-88.22001667,Vehiculo en movimiento,Frente a frente,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Amanecer,Despejado,No,NO APLICA,6,5,6,17,1,07/01/2022,3
1,Alabama,10015,0,0,1,0,99,MONROE (99),0,NO APLICA,1,Enero,7,2022,16,28,CR-DREWERY RD,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,31.48611389,-87.28593333,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,16,49,17,32,1,07/01/2022,2
1,Alabama,10016,0,0,1,0,129,WASHINGTON (129),0,NO APLICA,1,Enero,8,2022,20,15,CR-PRESTWICK RD,4,Calle del Condado,Urbano,Local,County Highway Agency,0,Sin jurisdiccion especial,0,31.456775,-87.95959167,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,20,15,20,33,1,08/01/2022,1
1,Alabama,10017,0,0,1,0,85,LOWNDES (85),0,NO APLICA,1,Enero,8,2022,21,55,I-65,1,Interestatal,Rural,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,1533,32.13576389,-86.44289722,Acotamiento,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,99,99,99,99,1,08/01/2022,1
1,Alabama,10018,0,0,1,0,83,LIMESTONE (83),9997,Other,1,Enero,9,2022,12,53,I-565,1,Interestatal,Urbano,Interestatal,State Highway Agency,1,Sin jurisdiccion especial,0,34.63883056,-86.84959722,Poste,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,lluvia,No,NO APLICA,12,52,13,6,1,09/01/2022,1
1,Alabama,10019,1,1,1,0,97,MOBILE (97),0,NO APLICA,1,Enero,9,2022,0,30,CR-FOWL RIVER RD,4,Calle del Condado,Rural,Colector Menor,County Highway Agency,0,Sin jurisdiccion especial,0,30.46496944,-88.11686667,Peaton,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre calle,Ninguna,Oscuro sin iluminacion,Nublado,No,NO APLICA,0,28,0,41,1,09/01/2022,2
1,Alabama,10020,0,0,1,0,51,ELMORE (51),0,NO APLICA,1,Enero,9,2022,19,15,CR-COLLEY RD,4,Calle del Condado,Rural,Local,County Highway Agency,0,Sin jurisdiccion especial,0,32.57847778,-86.12194722,Zanja,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Oscuro sin iluminacion,Despejado,No,NO APLICA,99,99,99,99,1,09/01/2022,1
1,Alabama,10021,0,0,1,0,97,MOBILE (97),0,NO APLICA,1,Enero,10,2022,13,50,CR-BEVERLY JEFFRIES HWY,4,Calle del Condado,Rural,Colector Mayor,County Highway Agency,0,Sin jurisdiccion especial,0,31.09250833,-88.39952222,Arbol,El primer evento no fue una colision con un vehiculo automotor en transporte,Not an Intersection,No fue interseccion,Sobre el lado de la calle,Ninguna,Dia total,Despejado,No,NO APLICA,13,59,14,15,1,10/01/2022,1
